Date,Open,High,Low,Close,Volume
2020-07-01,80.1126,81.2966,76.9637,77.4586,36958168
2020-07-02,76.9571,77.6944,76.8141,77.0869,49851817
2020-07-03,76.8887,77.1813,76.2684,77.1518,18651619
2020-07-06,77.2185,78.0034,75.1805,76.1077,32704417
2020-07-07,76.4440,76.7808,75.1399,75.1782,14637988
2020-07-08,75.3796,78.3127,74.8211,77.4001,13109391
2020-07-09,76.9745,79.7883,76.3542,77.9803,12326170
2020-07-10,78.5187,78.5976,75.1237,75.6936,2574561
2020-07-13,75.2837,76.3660,73.9799,74.3446,20423749
2020-07-14,74.5034,74.9091,73.5100,73.8706,46168082
2020-07-15,74.1577,75.5009,73.0509,74.5948,24241185
2020-07-16,74.5110,74.8162,70.3696,70.9552,15804246
2020-07-17,70.7093,71.2287,70.4688,70.9385,7185198
2020-07-20,70.8007,71.4709,70.2012,70.3711,16243847
2020-07-21,70.8453,72.4521,70.0900,71.6870,12218663
2020-07-22,71.4266,73.2308,70.9805,72.8316,47552738
2020-07-23,73.0545,74.6659,71.0847,72.1996,13032812
2020-07-24,72.0502,72.9513,69.7520,69.9712,13754536
2020-07-27,69.8038,71.5361,68.0924,69.6425,46220813
2020-07-28,69.3696,70.2900,67.3363,68.7506,45595803
2020-07-29,68.8176,69.7646,68.3291,68.5236,42631177
2020-07-30,68.2828,69.6550,68.0760,68.6391,33407611
2020-07-31,68.3828,68.7110,65.7078,67.3137,3613637
2020-08-03,67.5964,68.7909,67.0518,67.2429,16749992
2020-08-04,67.3207,68.1711,66.2086,67.0081,3381736
2020-08-05,66.4661,70.4100,66.3172,69.2967,41112228
2020-08-06,69.0180,70.1163,67.9271,68.0998,18829029
2020-08-07,68.3389,70.3166,68.2682,70.2753,39131408
2020-08-10,70.2539,72.5289,69.9356,71.9625,31987856
2020-08-11,71.7315,72.6806,71.2334,72.5523,27693669
2020-08-12,72.8082,73.3320,71.5399,72.0063,20924560
2020-08-13,72.0965,74.4834,71.3064,74.3942,11288085
2020-08-14,74.1908,74.8576,71.8086,73.3036,23135094
2020-08-17,73.4443,74.3399,70.8577,71.5003,27708265
2020-08-18,71.7634,72.2656,69.8900,69.9350,31969739
2020-08-19,70.1232,71.7401,68.4517,69.3944,20736789
2020-08-20,69.5835,70.5581,66.3843,67.7147,49438715
2020-08-21,67.8196,70.0733,67.1727,69.5166,16227276
2020-08-24,69.3048,69.5011,67.1700,67.4655,23855179
2020-08-25,67.2703,68.3791,66.4445,68.2338,30984077
2020-08-26,68.3659,68.8420,67.9748,68.0113,34314284
2020-08-27,68.0929,69.5915,66.4703,69.3284,41638707
2020-08-28,69.3611,70.2353,68.8306,70.2208,24463714
2020-08-31,70.1378,72.2593,69.1335,71.7912,46174988
2020-09-01,72.0100,72.6857,69.4580,70.0782,2749845
2020-09-02,70.0514,70.4262,67.0135,68.0074,34412784
2020-09-03,68.4746,69.2303,66.1496,66.5354,48986170
2020-09-04,66.4862,68.6773,65.7806,68.3206,20849869
2020-09-07,68.5075,69.7020,65.9380,67.3959,2891628
2020-09-08,67.2182,70.2041,66.9697,68.3117,45612759
2020-09-09,68.2325,68.7610,64.9213,65.5420,7430514
2020-09-10,65.6812,69.2746,65.2418,68.8468,44700920
2020-09-11,68.5541,69.8147,68.1252,69.6858,7160414
2020-09-14,69.3578,69.8094,66.6602,67.2073,8865994
2020-09-15,66.8855,69.7947,66.8169,68.6152,3619665
2020-09-16,69.0781,72.9961,68.7611,71.3845,9265718
2020-09-17,71.2493,72.5231,70.4230,71.3836,46980358
2020-09-18,71.5569,72.3085,71.3119,72.1234,49566075
